C Code,D code
SUGPUSTRT-*****,101630009400
SUGPUSTRC-*****,101630009600
SUGPUSAR--*****,101631000000
SUGPUSARC-*****,101631009400
SUGPUSART-*****,101631009600
SUGPUSAX--*****,101632000000
SUGPUSAXT-*****,101632009400
SUGPUSAXC-*****,101632009600
SUGPUSTS--*****,101633000000
SUGPUSTST-*****,101633009400
SUGPUSTSC-*****,101633009600
SUGPUSAPM-*****,101635000000
SUGPUSAPMT*****,101635009400
SUGPUSAPMC*****,101635009600
SUGPUST---*****,101636000000
SUGPUSTI--*****,101636003400
SUGPUSTM--*****,101636003800
SUGPUSTT--*****,101636009400
SUGPUSTC--*****,101636009600
SUGPUSS1--*****,101637000000
SUGPUSS1T-*****,101637009400
SUGPUSS1C-*****,101637009600
SUGPUSS4--*****,101640000000
SUGPUSS4T-*****,101640009400
SUGPUSS4C-*****,101640009600
SUGPUSS6--*****,101642000000
SUGPUSS6T-*****,101642009400
SUGPUSS6C-*****,101642009600
SUGPUSS7--*****,101643000000
SUGPUSS7T-*****,101643009400
SUGPUSS7C-*****,101643009600
SUGPUSS8--*****,101644000000
SUGPUSS8T-*****,101644009400
SUGPUSS8C-*****,101644009600
SUGPUSS9--*****,101645000000
SUGPUSS9T-*****,101645009400
SUGPUSS9C-*****,101645009600
SUGPUSSX--*****,101646000000
SUGPUSSXT-*****,101646009400
SUGPUSSXC-*****,101646009600
SUGPUSSW--*****,101647000000
SUGPUSSWT-*****,101647009400
SUGPUSSWC-*****,101647009600
SUGPUSSWP-*****,101648000000
SUGPUSSWPT*****,101648009400
SUGPUSSWPC*****,101648009600
SUGPUSAPB-*****,101649000000
SUGPUSAPBT*****,101649009400
SUGPUSAPBC*****,101649009600
SUFPN-----*****,101701006300
EUOPBA----*****,101900000000
EUOPDA----*****,102000000000
EUOPDEA---*****,102002000000
EUOPDFA---*****,102003000000
SUGPUULC--*****,102007000000
EUOPDNA---*****,102011000000
OUPP------*****,111103000000
OUOPK-----*****,111103000500
OUPPA-----*****,111103001300
OURP------*****,111103000700
OUPPB-----*****,111103001800
OUPPC-----*****,111103001900
OUGP------*****,111104000000
OUGPA-----*****,111104000900
OUGPE-----*****,111104001000
OUGPF-----*****,111104001100
OUGPB-----*****,111104001400
OUGPD-----*****,111104001700
OUGPC-----*****,111104001900
EUIPBD----*****,111104002400
OUOPC-----*****,111109000000
OUOPCB----*****,111109002100
OUOPCA----*****,111109002200
OUOPCC----*****,111109002300
EUOPAA----*****,111110000000
SUGPEWR---*****,151101000000
SUGPEWRR--*****,151101010000
SUGPEWRL--*****,151101020000
SUGPEWRH--*****,151101030000
SUGPEWZ---*****,151103000000
SUGPEWZL--*****,151103010000
SUGPEWZM--*****,151103020000
SUGPEWZH--*****,151103030000
SUGPEXF---*****,151104000000
SUGPEWA---*****,151105000000
SUGPEWAL--*****,151105010000
SUGPEWAM--*****,151105020000
SUGPEWAH--*****,151105030000
SUGPEWG---*****,151106000000
SUGPEWGL--*****,151106010000
SUGPEWGM--*****,151106020000
SUGPEWGH--*****,151106030000
SUGPEWD---*****,151107000000
SUGPEWDL--*****,151107010000
SUGPEWDM--*****,151107020000
SUGPEWDH--*****,151107030000
SUGPEWGR--*****,151108000000
SUGPEWH---*****,151109000000
SUGPEWHL--*****,151109010000
SUGPEWHM--*****,151109020000
SUGPEWHH--*****,151109030000
SUGPEWM---*****,151110000000
SUGPEWMA--*****,151111000000
SUGPEWMAS-*****,151111010000
SUGPEWMASR*****,151111020000
SUGPEWMASE*****,151111030000
SUGPEWMAI-*****,151111040000
SUGPEWMAIR*****,151111050000
SUGPEWMAIE*****,151111060000
SUGPEWMAL-*****,151111070000
SUGPEWMALR*****,151111080000
SUGPEWMALE*****,151111090000
SUGPEWMT--*****,151112000000
SUGPEWMTL-*****,151112010000
SUGPEWMTM-*****,151112020000
SUGPEWMTH-*****,151112030000
SUGPEWMS--*****,151113000000
SUGPEWMSS-*****,151113010000
SUGPEWMSI-*****,151113020000
SUGPEWMSL-*****,151113030000
SUGPEWO---*****,151114000000
SUGPEWOL--*****,151114010000
SUGPEWOM--*****,151114020000
SUGPEWOH--*****,151114030000
SUGPEWS---*****,151115000000
SUGPEWSL--*****,151115010000
SUGPEWSM--*****,151115020000
SUGPEWSH--*****,151115030000
SUGPEWX---*****,151116000000
SUGPEWXL--*****,151116010000
SUGPEWXM--*****,151116020000
SUGPEWXH--*****,151116030000
SUGPEWT---*****,151117000000
SUGPEWTL--*****,151117010000
SUGPEWTM--*****,151117020000
SUGPEWTH--*****,151117030000
SUGPEV----*****,151200000000
SUGPEVA---*****,151201000000
SUGPEVAI--*****,151201010000
SUGPEVAC--*****,151201020000
SUGPEVAA--*****,151201030000
SUGPEVUAA-*****,151201040000
SUGPEVUAA-*****,151201040000
SUGPEVAA--*****,151201050000
SUGPEVAA--*****,151201060000
SUGPEVAAR-*****,151201080000
SUGPEVAS--*****,151201090000
SUGPEVAL--*****,151201100000
SUGPEVAT--*****,151202000000
SUGPEVATL-*****,151202010000
SUGPEVATM-*****,151202020000
SUGPEVATH-*****,151202030000
SUGPEVATLR*****,151203010000
SUGPEVATMR*****,151203020000
SUGPEVATHR*****,151203030000
SUGPEVE---*****,151300000000
SUGPEVEB--*****,151301000000
SUGPEVEE--*****,151308000000
SUGPEVEA--*****,151309000000
SUGPEVEAT-*****,151309010000
SUGPEVEAA-*****,151309020000
SUGPEVEMV-*****,151310020000
SUGPEVEML-*****,151310030000
SUGPEVED--*****,151311000000
SUGPEVEDA-*****,151311010000
SUGPEVES--*****,151312000000
SUGPEVER--*****,151313000000
SUGPEVEH--*****,151314000000
SUGPEVEC--*****,151315000000
SUGPEVEF--*****,151316000000
SUGPEVU---*****,151401000000
SUGPEVUA--*****,151403000000
SUGPEVUB--*****,151405000000
SUGPEVUS--*****,151406000000
SUGPEVUSL-*****,151406010000
SUGPEVUSM-*****,151406020000
SUGPEVUSH-*****,151406030000
SUGPEVUL--*****,151407000000
SUGPEVUX--*****,151408000000
SUGPEVUR--*****,151411000000
SUGPEVUT--*****,151412000000
SUGPEVUTL-*****,151412010000
SUGPEVUTH-*****,151412020000
SUGPEVT---*****,151501000000
SUGPEVC---*****,151600000000
SUGPEVCA--*****,151601000000
SUGPEVCAL-*****,151601010000
SUGPEVCAM-*****,151601020000
SUGPEVCAH-*****,151601030000
SUGPEVCO--*****,151602000000
SUGPEVCOL-*****,151602010000
SUGPEVCOM-*****,151602020000
SUGPEVCOH-*****,151602030000
SUGPEVCM--*****,151603000000
SUGPEVCML-*****,151603010000
SUGPEVCMM-*****,151603020000
SUGPEVCMH-*****,151603030000
SUGPEVCU--*****,151604000000
SUGPEVCUL-*****,151604010000
SUGPEVCUM-*****,151604020000
SUGPEVCUH-*****,151604030000
SUGPEVCJ--*****,151605000000
SUGPEVCJL-*****,151605010000
SUGPEVCJM-*****,151605020000
SUGPEVCJH-*****,151605030000
SUGPEVCT--*****,151606000000
SUGPEVCTL-*****,151606010000
SUGPEVCTM-*****,151606020000
SUGPEVCTH-*****,151606030000
SUGPEVCF--*****,151607000000
SUGPEVCFL-*****,151607010000
SUGPEVCFM-*****,151607020000
SUGPEVCFH-*****,151607030000
OUIPI-----*****,151608000000
OUIPD-----*****,151609000000
EUOPDB----*****,151700000000
EUOPDEB---*****,151702000000
EUOPDFB---*****,151703000000
EUOPDJB---*****,151707000000
SUGPEVM---*****,151800000000
SUGPEVS---*****,151900000000
SUGPEVST--*****,151901000000
SUGPEVSR--*****,151902000000
SUGPEVSC--*****,151903000000
SUGPEVSP--*****,151904000000
SUGPEVSW--*****,151905000000
SUGPEXN---*****,152004000000
SUGPEXL---*****,152010000000
OUIPT-----*****,152013000000
EUOPAB----*****,152015000000
EUOPAF----*****,152015010000
SUGPEXM---*****,152101000000
SUGPEXMC--*****,152102000000
SUGPEXI---*****,152104000000
SUGPEXML--*****,152105000000
SUGPES----*****,152201000000
EUOPEA----*****,152201000100
EUOPEB----*****,152201000200
EUOPEC----*****,152201000400
EUOPED----*****,152201000500
EUOPEE----*****,152201000600
SUGPESE---*****,152202000000
SUGPESR---*****,152203000000
EUOPBB----*****,152300000000
EUOPAE----*****,152301000000
EUOPCB----*****,152302000000
SUGPIMA---H****,201101000000
SUGPIME---H****,201102000000
SUGPIMG---H****,201104000000
OULPB-----*****,201105000000
SUGPIRN---H****,201106000000
SUGPIRNB--H****,201106000100
SUGPIRNC--H****,201106000200
SUGPIRNN--H****,201106000300
SUGPIPD---H****,201106000500
SUGPIMC---H****,201106000001
SUGPIMC---H****,201106000002
SUGPIMN---H****,201107000000
SUGPIMNB--H****,201107010000
SUGPIE----H****,201108000000
SUGPIG----H****,201109000000
OULPG-----*****,201110000000
OULPM-----*****,201111000000
SUGPIRM---H****,201113000000
SUGPIMM---H****,201114000000
SUGPIMF---H****,201115000000
SUGPIMFA--H****,201115000005
SUGPIMFP--H****,201115000006
SUGPIMFS--H****,201115000007
SUGPIMFPW-H****,201115000008
OUIPS-----*****,201117000000
OULPW-----*****,201118000000
SUGPIC----H****,201119000000
SUGPICD---H****,201119010000
SUGPICT---H****,201119020000
